RegionType,RegionName,City,State,Metro,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,New York,New York,NY,"New York, NY",0,9.7718561781347,95.73,1.0234,0.0254,693900,0.872219799389446,14.3351458230351,0.054813373684969,,0.067887526157941,0.099894063036363,153
City,Los Angeles,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",1,7.5552108048914,96.37,3.4373,1.0175,633400,0.300870942201108,7.1017923571187,0.017052415535207,,0.05447241395301,0.031303563006052,66
City,Chicago,Chicago,IL,"Chicago, IL",2,4.10293849242562,81.92,,,223300,0.359550561797753,7.30418068236425,0.033954321540529,,0.228913937602891,0.040972971703156,84
City,Philadelphia,Philadelphia,PA,"Philadelphia, PA",3,3.39569264464318,87.6,7.2419,5.6924,140300,1.00791936645068,7.18105423987777,0.032815395580898,,0.148186994559375,0.074886506376121,84
City,Phoenix,Phoenix,AZ,"Phoenix, AZ",4,8.48147472166454,88.21,5.9816,0.4927,218600,0.598251265531523,9.68389362769694,0.038069533394328,,0.112508516965411,0.020692503126331,64
City,Las Vegas,Las Vegas,NV,"Las Vegas, NV",5,5.55119547362657,81.94,6.9234,1.73,227000,1.02358700489542,11.3837095191364,0.059022026431718,,0.162197221929523,0.064401786312163,60
City,San Diego,San Diego,CA,"San Diego, CA",6,8.76528563606498,96.79,2.5879,0.7721,586800,0.427862399452336,7.92716571638771,0.032987389229721,,0.063725471831529,0.015708405336935,51
City,Dallas,Dallas,TX,"Dallas-Fort Worth, TX",7,9.88684066435481,96.65,2.2737,0.6355,170800,1.12492599171107,8.92857142857143,0.048495316159251,,,,62
City,San Jose,San Jose,CA,"San Jose, CA",8,9.61489322869137,97.97,2.2161,0.3768,912300,0.784357048166151,9.32294787297783,0.030925134276006,,0.030384420274499,0.011059087612744,40
City,Jacksonville,Jacksonville,FL,"Jacksonville, FL",9,4.53276145281986,80.76,,,154900,0.388852883992223,10.4062722736992,0.042724338282763,,0.162267910008616,0.061307503786058,75
City,San Francisco,San Francisco,CA,"San Francisco, CA",10,9.776419054572,98.6,1.0451,0.2208,1236700,0.471199935006905,10.9546025479993,0.02343413924153,,0.034161957770519,0.008251978925318,43.5
City,Austin,Austin,TX,"Austin, TX",11,8.68771673663077,100,,,327000,0.337526848726603,8.27814569536424,0.032840978593272,,,,57
City,Detroit,Detroit,MI,"Detroit, MI",12,9.08924986311371,100,,,47700,4.60526315789474,33.9887640449438,0.09,,0.361762843797311,0.040241319093584,108.5
City,Columbus,Columbus,OH,"Columbus, OH",13,3.84102938492426,85.8,6.5502,6.7884,131700,0.765110941086458,8.57378400659522,0.042414578587699,,0.116894165221145,0.044014193776267,54
City,Memphis,Memphis,TN,"Memphis, TN",14,1.10147837196569,80.73,9.0741,4.19,79300,-1.85643564356436,2.85343709468223,0.039609079445145,,0.149323320834595,0.062136060920286,78
City,Charlotte,Charlotte,NC,"Charlotte, NC",15,6.22741376163533,91.03,6.6284,2.0137,190900,0.898520084566596,9.52380952380952,0.044290204295443,,0.103314848331934,0.031402629653822,53
City,El Paso,El Paso,TX,"El Paso, TX",16,0.389669647745939,0,,,113600,-0.350877192982456,0.620017714791851,0.025536971830986,,,,91
City,Boston,Boston,MA,"Boston, MA",17,8.58733345501004,97.69,,4.7159,561400,0.537249283667622,9.28557523846603,0.039136088350552,,0.093735473197309,0.015314082934957,68
City,Seattle,Seattle,WA,"Seattle, WA",18,9.85763825515605,98.27,1.8901,0.5166,695600,0.913970694907878,14.6341463414634,0.061243530764807,,0.056396238752284,0.004734700678869,38
City,Baltimore,Baltimore,MD,"Baltimore, MD",19,2.32980470888848,82.21,12.0165,3.4898,123000,0.737100737100737,4.32569974554707,0.03149593495935,,0.223436429412225,0.06924619241375,98
City,Denver,Denver,CO,"Denver, CO",20,9.45154225223581,98.89,1.038,0.083,386700,0.285269709543568,7.77591973244147,0.030605120248255,,0.059700463673183,0.002819437820695,51
City,Washington,Washington,DC,"Washington, VA",21,5.4517247672933,97.68,1.8441,1.5138,538700,-0.166790214974055,2.90353390639924,0.022988676443289,,0.096048773308116,0.045304544508765,63
City,Nashville,Nashville,TN,"Nashville, TN",22,9.69428727870049,96.53,1.9917,1.3726,237800,0.933786078098472,13.4541984732824,0.040319596299411,,0.069572435329018,0.007926065589487,58
City,Milwaukee,Milwaukee,WI,"Milwaukee, WI",23,4.2918415769301,80.62,4.3748,2.7826,108900,0.92678405931418,8.14299900695134,0.036115702479339,,0.242027937036349,0.055749654650153,76
