news_cutter,Trusted News Brand in Sri Lanka,,4,2349,7944,0,"Walmart manager opens fire in break room

 https://t.co/TlifD1atYw

#walmart",['walmart'],2021-10-04 17:45:19+00:00
amphitritia2,,Neptune,714,229,19399,23,"In a healthy, safe country, you should be able to go to a school, a house of worship, the mall, the movies, a grocery store, a club, a parade, a hospital -- be in public, 

without getting killed in a mass shooting. 

#Chesapeake #walmart #ColoradoSprings #Virginia 
#GunReformNow",[],2018-06-10 13:13:51+00:00
ToddKunzTV,Anchor/Executive Producer ~ Eyewitness News 3 @News_3_Now ~ Local News 8 @localnews8 ~ KXPI Fox 5 ~ Eastern Idaho and Western Wyoming,"Idaho Falls, Idaho",1593,1632,30099,0,"#Walmart employee killed 6 people at #Virginia store, police say https://t.co/rABU06JwIQ","['Walmart', 'Virginia']",2012-02-03 21:34:08+00:00
gordon_riches,,,5113,4855,176420,348,"I hear people say they never thought that #GunViolence would impact them. I used to think the same way before I was shot in the throat. 

The reality is that none of us are immune.

Today, a #Walmart in #Virginia is trending. 

Tomorrow, it may be your Zip Code. #EnoughIsEnough",['GunViolence'],2015-07-27 07:33:33+00:00
MarciaHyatt6,"B.O.I. Born on Island....I am a Registered Nurse married to a Sea Captain..All Trump supporters will be blocked... I am a Texas Betocrat #Resist. #FBR.
#LevelUp",Galveston Texas ,4966,4117,117234,348,"I hear people say they never thought that #GunViolence would impact them. I used to think the same way before I was shot in the throat. 

The reality is that none of us are immune.

Today, a #Walmart in #Virginia is trending. 

Tomorrow, it may be your Zip Code. #EnoughIsEnough",['GunViolence'],2019-01-02 11:36:08+00:00
sandratxpeach,,,797,890,233237,348,"I hear people say they never thought that #GunViolence would impact them. I used to think the same way before I was shot in the throat. 

The reality is that none of us are immune.

Today, a #Walmart in #Virginia is trending. 

Tomorrow, it may be your Zip Code. #EnoughIsEnough",['GunViolence'],2015-04-06 04:58:40+00:00
cynical420,#Resistance. #FBR NAFO  #FELLAS,,6207,5924,205949,348,"I hear people say they never thought that #GunViolence would impact them. I used to think the same way before I was shot in the throat. 

The reality is that none of us are immune.

Today, a #Walmart in #Virginia is trending. 

Tomorrow, it may be your Zip Code. #EnoughIsEnough",['GunViolence'],2014-05-13 18:35:06+00:00
grmpamse,Canadian Grampa,,4967,3145,73084,379,".
This year there have already been more than 600 mass shootings in the USA... 
Now a #MassShooting in a #Walmart in #Virginia 

It will never stop as long as the @GOP and the @NRA protect the guns more than the people.

Fack the so-called ""Pro-Life"" #Republicans !

Chesapeake 😔 https://t.co/GSvSqfC6kR","['MassShooting', 'Walmart']",2020-06-30 18:20:40+00:00
amphitritia2,,Neptune,714,229,19399,28,"Wake up to the news of another mass shooting….must be a Wednesday.  Did the well regulated militia defend us from tyranny at a local Walmart again?

#Walmart #GunReformNow",[],2018-06-10 13:13:51+00:00
Shoot_Me_Again,,,880,247,24985,833,#BREAKING Walmart employee at #Chesapeake #Virginia says his manager came into the break room and shot multiple employees #Walmart #walmartBlackFriday https://t.co/NLK5xFFCJl,"['BREAKING', 'Chesapeake', 'Virginia']",2009-12-02 18:52:52+00:00
HFWrose,"dig horror, scifi, music, comics, macs, & twisted humour. No dig: AS most ppl & drama. I make monsters to cope with chronic pain. I like my dogs better than ppl",Flesh prison Ontario Canada,113,119,4822,379,".
This year there have already been more than 600 mass shootings in the USA... 
Now a #MassShooting in a #Walmart in #Virginia 

It will never stop as long as the @GOP and the @NRA protect the guns more than the people.

Fack the so-called ""Pro-Life"" #Republicans !

Chesapeake 😔 https://t.co/GSvSqfC6kR","['MassShooting', 'Walmart']",2009-01-29 05:56:52+00:00
