,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,PSMJAX,"Nonprofit Organization in Jacksonville, Florida
People. Service. Missions.
Faithfully Serving Everyday People
#PSMJax #ConnectingThoseWhoHaveToThoseWhoNeed","Jacksonville, FL",32,40,830,0,"On AmazonSmile (website &amp; App) select our organization so that we can benefit from your eligible purchases. Use this link to choose us as your charity of choice https://t.co/WJGIEV14hq

#PSMJax #Halloween #Walmart #AmazonSmile #OnlineShopping #RoundUp #Donation","['PSMJax', 'Halloween', 'Walmart', 'AmazonSmile', 'OnlineShopping', 'RoundUp', 'Donation']"
1,MetaFlixToken,"A celebrity backed, metaverse entertainment ecosystem that connects fans to entertainers through blockchain and NFTs. Launching soon on the Binance Smart Chain.",,733,4604,784,0,"Companies like #Microsoft, #Walmart &amp; #Meta also once known as ""#Facebook"" are furthering investing, entering &amp; introducing new things in the #Web3. 

#Metaverse #Trending #NFT #Crypto #digital","['Microsoft', 'Walmart', 'Meta', 'Facebook', 'Web3', 'Metaverse', 'Trending', 'NFT', 'Crypto', 'digital']"
2,Tickeron,"Follow us to receive trading signals from our A.I.
Disclaimers and Limitations: https://t.co/XKE2RhkwCt","Sunnyvale, CA",740,17739,2033282,0,"$WMT in Uptrend: price expected to rise as it breaks its lower Bollinger Band on October 7, 2022. View odds for this and other indicators: https://t.co/Zevg8idKBR #Walmart #stockmarket #stock https://t.co/txXlncuZg8","['Walmart', 'stockmarket', 'stock']"
3,MediaUnknwn,Unbiased-News.Everyday,,20,1,423,0,Walmart is now selling over-the-counter hearing aids after FDA rule change #walmart #FDA,"['walmart', 'FDA']"
4,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"iBrightstar Newest 9-30V Super Bright Low Power 3157 4157 3057 3156 LED Bulbs with

buy link &gt;&gt; https://t.co/FFkBi3tVyx

#Amazon #AmazonPrime #walmart #eBay #google #Apple #AudioLeaks #NFL #book #USA","['Amazon', 'AmazonPrime', 'walmart', 'eBay', 'google', 'Apple', 'AudioLeaks', 'NFL', 'book', 'USA']"
5,eDAOHQ,"Stuff's getting #Flipped Watch this space tomorrow 👇
https://t.co/A9zS8TE3pL",,51,2803,496,1,Indian e-commerce giant Flipkart launches metaverse shopping experience #ecommercegiant #flipkart #bengaluru #edao #walmart #flipverse #trading #business #entrepreneurship https://t.co/aZexTTSgn6,"['ecommercegiant', 'flipkart', 'bengaluru', 'edao', 'walmart']"
6,gamerkev20141,"Just a geek. I'm into movies, video games, anime, cartoons, and music.","Arizona, USA",881,529,20811,0,Ed Edd n Eddy complete series DVD ! yay #ededdneddy #walmart https://t.co/5SszwzbyVp via @YouTube,"['ededdneddy', 'walmart']"
7,Jccindy1Cynthia,I think too hard and like to investigate stuff in my free time which I have a lot of since I retired,Ohio,571,445,15800,7,"#JaxonTruitt and #AdrianaTruitt are missing from #Hampton #Virginia since 10/16/22 when they were taken from the #Walmart by their Non Custodial Father #TimothyTruitt. 

Hampton Police Division
757-727-6111
Crime Line
888-LOCK-UP

Please #Help and #Share 
#missingchildren #BOLO https://t.co/vKZ22tiyP4","['JaxonTruitt', 'AdrianaTruitt', 'Hampton', 'Virginia', 'Walmart']"
8,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"20 Pieces Car Air Conditioner Decoration Strip for Vent Outlet, Universal Waterproof Bendable Air Vent Outlet Trim Decoration

buy link &gt;&gt; https://t.co/Ow5w28b3PB

#Amazon #walmart #eBay #google #Apple #AmazonPrime #USA #book #warwanarat","['Amazon', 'walmart', 'eBay', 'google', 'Apple', 'AmazonPrime', 'USA', 'book', 'warwanarat']"
9,MauroMoraesJr,"Hey, you can call me MJ. I'm an #entrepreneur. This week's retweet: @SecretAdvert",Berlin,33,30,771,0,"RT @ChartoftheDay_: Among US adults, 16% pay for a Walmart+ membership. Those subscribers skew younger: 23% of 18- to 34-year-olds pay for the premium, versus just 10% of those ages 55 to 65. https://t.co/QCVqACGxr5
#walmart #retail https://t.co/yZXUIKPPSc","['walmart', 'retail']"
10,KellyOl60216704,,,149,18,207,139,"With fall right around the corner, it's time to prep your skin with @SoapandGlory at @Walmart #walmart #ad #soapandglory #FlakeAwayAtWalmart 
https://t.co/gPPw58ZG5C https://t.co/GfKfyViZ18","['walmart', 'ad', 'soapandglory']"
11,KellyOl60216704,,,149,18,207,147,"When it comes to self care, Rida has found the key to a perfect routine (hint hint, you use @SoapandGlory from @Walmart ) #soapandglory #ad #Walmart #FlakeAwayAtWalmart 
https://t.co/uU0p1mFHgR https://t.co/iaYPcN5nhE",[]
12,KellyOl60216704,,,149,18,207,0,"Check out Soap &amp; Glory’s affordable, fun products &amp; enter to win a $50 Walmart gift card in the @SheSpeaksUp giveaway here https://t.co/3NieParq3D #SoapAndGlory, #FlakeAwayatWalmart, #Walmart #entry","['SoapAndGlory', 'FlakeAwayatWalmart', 'Walmart', 'entry']"
13,KellyOl60216704,,,149,18,207,0,"Celebrate your skin with Soap &amp; Glory body butters and scrubs! Add them to your Walmart cart here: https://t.co/PelY2cvU17 #SoapAndGlory, #FlakeAwayatWalmart, #Walmart #entry","['SoapAndGlory', 'FlakeAwayatWalmart', 'Walmart', 'entry']"
14,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"EPAuto CP285 (CF10285) Premium Cabin Air Filter includes Activated Carbon

buy link &gt;&gt; https://t.co/oruzJy3Bzn

#Amazon #AmazonPrime #walmart #eBay #google #Apple #NFTCommunity #NFL #BBNajia7 #book #USA","['Amazon', 'AmazonPrime', 'walmart', 'eBay', 'google', 'Apple', 'NFTCommunity', 'NFL', 'BBNajia7', 'book', 'USA']"
15,cpgconnect,Canada's #1 Job Board and Networking Site for the Consumer Packaged Goods and Retail Industry!,Canada,95,1175,37518,1,"Walmart Canada to sell Ontario-based Mastronardi Produce strawberries… https://t.co/p3KwwiMWhC For more CPG | Retail News, visit: https://t.co/hE4zdFaPlS #Walmart #MastronardiProduce #CPG #ConsumerGoods #FMCG #FastMovingConsumerGoods #Retail #News #CPGConnectNews","['Walmart', 'MastronardiProduce', 'CPG', 'ConsumerGoods', 'FMCG', 'FastMovingConsumerGoods', 'Retail', 'News', 'CPGConnectNews']"
16,secretadvert,Exploring what the world is searching with #digitalanalytics #digitalanalyst. This week's retweet: @eMarketer,,83,690,426,0,"RT @ChartoftheDay_: Among US adults, 16% pay for a Walmart+ membership. Those subscribers skew younger: 23% of 18- to 34-year-olds pay for the premium, versus just 10% of those ages 55 to 65. https://t.co/8sppT1rJE5
#walmart #retail https://t.co/u1NWlC6nXm","['walmart', 'retail']"
17,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"Humixx Shockproof Designed for Google Pixel 7 Pro Case [Military Grade Drop Tested] [Ultimate Silky Touch]

buy link &gt;&gt; https://t.co/9t0toLMwDV

#Amazon #AmazonPrime #walmart #eBay #google #Apple #NFL #USA #book #books","['Amazon', 'AmazonPrime', 'walmart', 'eBay', 'google', 'Apple', 'NFL', 'USA', 'book', 'books']"
18,stars2p,,,787,1119,179513,7,"#JaxonTruitt and #AdrianaTruitt are missing from #Hampton #Virginia since 10/16/22 when they were taken from the #Walmart by their Non Custodial Father #TimothyTruitt. 

Hampton Police Division
757-727-6111
Crime Line
888-LOCK-UP

Please #Help and #Share 
#missingchildren #BOLO https://t.co/vKZ22tiyP4","['JaxonTruitt', 'AdrianaTruitt', 'Hampton', 'Virginia', 'Walmart']"
19,robinsnewswire,"Flying the web for trusted world news reports and shopping discounts 24/7. Retweeting for opinions, useful information, and the many voices of Twitter.",RT's Are FYI Purposes Only,16579,23817,1984844,0,"""3-Pack Ailun Glass Screen Protector for iPhone only $6.78: eDeal Info"" #Amazon #Ebay #Walmart #Discounts #Coupons #Deals: https://t.co/j0yNnGlckn","['Amazon', 'Ebay', 'Walmart', 'Discounts', 'Coupons', 'Deals']"
